Cidade,Transportadora,Prazo
AMERICANA,RODONAVES,4
NOVA ODESSA,RODONAVES,4
SANTA BARBARA D OESTE,RODONAVES,4
ANAPOLIS,RODONAVES,5
GOIANAPOLIS,RODONAVES,8
TEREZOPOLIS DE GOIAS,RODONAVES,8
ANDRADINA,RODONAVES,5
CASTILHO,RODONAVES,7
GUARACAI,RODONAVES,6
ITAPURA,RODONAVES,9
LAVINIA,RODONAVES,6
MIRANDOPOLIS,RODONAVES,6
MURUTINGA DO SUL,RODONAVES,6
NOVA INDEPENDENCIA,RODONAVES,7
ARACATUBA,RODONAVES,4
BENTO DE ABREU,RODONAVES,7
BILAC,RODONAVES,9
BIRIGUI,RODONAVES,4
BRAUNA,RODONAVES,9
BREJO ALEGRE,RODONAVES,9
BURITAMA,RODONAVES,7
CLEMENTINA,RODONAVES,9
COROADOS,RODONAVES,9
GABRIEL MONTEIRO,RODONAVES,9
GLICERIO,RODONAVES,9
GUARARAPES,RODONAVES,5
LOURDES,RODONAVES,9
PIACATU,RODONAVES,9
PLANALTO,RODONAVES,9
RUBIACEA,RODONAVES,7
SANTO ANTONIO DO ARACANGUA,RODONAVES,10
SANTOPOLIS DO AGUAPEI,RODONAVES,9
TURIUBA,RODONAVES,9
VALPARAISO,RODONAVES,5
ZACARIAS,RODONAVES,9
ARARAS,RODONAVES,4
ALEGRETE,RODONAVES,8
MANOEL VIANA,RODONAVES,8
QUARAI,RODONAVES,11
ALFENAS,RODONAVES,4
DIVISA NOVA,RODONAVES,9
MONTE BELO,RODONAVES,4
SAO JOSE DA BARRA,RODONAVES,9
AMERICO BRASILIENSE,RODONAVES,4
ARARAQUARA,RODONAVES,4
BOA ESPERANCA DO SUL,RODONAVES,7
GAVIAO PEIXOTO,RODONAVES,6
NOVA EUROPA,RODONAVES,6
RINCAO,RODONAVES,7
SANTA LUCIA,RODONAVES,7
TRABIJU,RODONAVES,7
AGUAS DE LINDOIA,RODONAVES,4
AMPARO,RODONAVES,4
ARCADAS,RODONAVES,5
JAGUARIUNA,RODONAVES,4
LINDOIA,RODONAVES,4
MONTE ALEGRE DO SUL,RODONAVES,8
MONTE SIAO,RODONAVES,4
PEDREIRA,RODONAVES,4
SERRA NEGRA,RODONAVES,4
CARVALHOPOLIS,RODONAVES,15
COQUEIRAL,RODONAVES,19
CORDISLANDIA,RODONAVES,19
FAMA,RODONAVES,5
SANTANA DA VARGEM,RODONAVES,19
SAO BENTO ABADE,RODONAVES,19
SAO THOME DAS LETRAS,RODONAVES,19
APUCARANA,RODONAVES,5
ARAPONGAS,RODONAVES,5
CALIFORNIA,RODONAVES,5
CAMBIRA,RODONAVES,5
MARILANDIA DO SUL,RODONAVES,9
NOVO ITACOLOMI,RODONAVES,9
RIO BOM,RODONAVES,9
SABAUDIA,RODONAVES,7
ASSIS,RODONAVES,4
CANDIDO MOTA,RODONAVES,4
CRUZALIA,RODONAVES,7
ECHAPORA,RODONAVES,9
FLORINEA,RODONAVES,8
GARDENIA,RODONAVES,9
IEPE,RODONAVES,9
JOAO RAMALHO,RODONAVES,6
MARACAI,RODONAVES,7
NANTES,RODONAVES,9
NOVA ALEXANDRIA,RODONAVES,5
PALMITAL,RODONAVES,4
PARAGUACU PAULISTA,RODONAVES,5
PEDRINHAS PAULISTA,RODONAVES,7
PLATINA,RODONAVES,5
QUATA,RODONAVES,6
RANCHARIA,RODONAVES,5
TARUMA,RODONAVES,5
ARAXA,RODONAVES,4
IBIA,RODONAVES,7
PERDIZES,RODONAVES,5
SACRAMENTO,RODONAVES,4
TAPIRA,RODONAVES,6
AGUAS DE SANTA BARBARA,RODONAVES,6
ARANDU,RODONAVES,6
AVARE,RODONAVES,4
CERQUEIRA CESAR,RODONAVES,4
IARAS,RODONAVES,6
ITAI,RODONAVES,4
PARANAPANEMA,RODONAVES,4
ACEGUA,RODONAVES,11
BAGE,RODONAVES,6
CANDIOTA,RODONAVES,11
DOM PEDRITO,RODONAVES,8
HULHA NEGRA,RODONAVES,11
PEDRAS ALTAS,RODONAVES,11
PINHEIRO MACHADO,RODONAVES,11
ALFREDO VASCONCELOS,RODONAVES,9
ALTO RIO DOCE,RODONAVES,15
ANTONIO CARLOS,RODONAVES,9
ARACITABA,RODONAVES,15
BARBACENA,RODONAVES,5
BIAS FORTES,RODONAVES,15
CAPELA NOVA,RODONAVES,15
CIPOTANEA,RODONAVES,15
DESTERRO DO MELO,RODONAVES,15
IBERTIOGA,RODONAVES,15
OLIVEIRA FORTES,RODONAVES,15
PAIVA,RODONAVES,15
RESSAQUINHA,RODONAVES,9
SANTA BARBARA DO TUGURIO,RODONAVES,15
SANTA RITA DO IBITIPOCA,RODONAVES,15
SANTANA DO GARAMBEU,RODONAVES,15
SENHORA DOS REMEDIOS,RODONAVES,15
BORDA DA MATA,RODONAVES,5
BUENO BRANDAO,RODONAVES,7
INCONFIDENTES,RODONAVES,5
OURO FINO,RODONAVES,5
TOCOS DO MOJI,RODONAVES,9
ALTAIR,RODONAVES,9
BAGUACU,RODONAVES,9
BARRETOS,RODONAVES,4
CAJOBI,RODONAVES,7
GUARACI,RODONAVES,9
MARCONDESIA,RODONAVES,7
MONTE VERDE PAULISTA,RODONAVES,7
OLIMPIA,RODONAVES,5
SEVERINIA,RODONAVES,7
AGUDOS,RODONAVES,4
BAURU,RODONAVES,4
BOREBI,RODONAVES,9
CABRALIA PAULISTA,RODONAVES,9
DUARTINA,RODONAVES,6
LUCIANOPOLIS,RODONAVES,9
MACATUBA,RODONAVES,4
PEDERNEIRAS,RODONAVES,4
PIRATININGA,RODONAVES,7
APIUNA,RODONAVES,9
ASCURRA,RODONAVES,9
BENEDITO NOVO,RODONAVES,9
BLUMENAU,RODONAVES,5
DOUTOR PEDRINHO,RODONAVES,8
GASPAR,RODONAVES,5
INDAIAL,RODONAVES,5
LUIZ ALVES,RODONAVES,5
POMERODE,RODONAVES,5
RIO DOS CEDROS,RODONAVES,9
RODEIO,RODONAVES,7
TIMBO,RODONAVES,5
BOTUVERA,RODONAVES,9
BRUSQUE,RODONAVES,5
CANELINHA,RODONAVES,5
GUABIRUBA,RODONAVES,5
MAJOR GERCINO,RODONAVES,9
NOVA TRENTO,RODONAVES,7
SAO JOAO BATISTA,RODONAVES,7
TIJUCAS,RODONAVES,5
BEBEDOURO,RODONAVES,4
BOTAFOGO,RODONAVES,5
CANDIDO RODRIGUES,RODONAVES,9
COLINA,RODONAVES,4
FERNANDO PRESTES,RODONAVES,9
IBITIUVA,RODONAVES,5
JABORANDI,RODONAVES,5
MONTE AZUL PAULISTA,RODONAVES,4
PIRANGI,RODONAVES,6
PITANGUEIRAS,RODONAVES,5
TAIACU,RODONAVES,6
TAIUVA,RODONAVES,6
TAQUARAL,RODONAVES,6
TERRA ROXA,RODONAVES,5
VIRADOURO,RODONAVES,5
VISTA ALEGRE DO ALTO,RODONAVES,6
BELO HORIZONTE,RODONAVES,7
BETIM,RODONAVES,7
BRUMADINHO,RODONAVES,9
CAETE,RODONAVES,11
CONFINS,RODONAVES,7
CONTAGEM,RODONAVES,7
ESMERALDAS,RODONAVES,11
FLORESTAL,RODONAVES,11
IBIRITE,RODONAVES,7
IGARAPE,RODONAVES,11
ITABIRITO,RODONAVES,11
ITATIAIUCU,RODONAVES,11
JUATUBA,RODONAVES,11
LAGOA SANTA,RODONAVES,7
MARIO CAMPOS,RODONAVES,9
MATEUS LEME,RODONAVES,11
NOVA LIMA,RODONAVES,7
NOVA UNIAO,RODONAVES,11
RAPOSOS,RODONAVES,11
RAVENA,RODONAVES,11
RIBEIRAO DAS NEVES,RODONAVES,7
RIO ACIMA,RODONAVES,11
SABARA,RODONAVES,11
SANTA LUZIA,RODONAVES,7
SAO JOAQUIM DE BICAS,RODONAVES,11
SARZEDO,RODONAVES,9
VESPASIANO,RODONAVES,7
ATIBAIA,RODONAVES,4
BATATUBA,RODONAVES,8
BOM JESUS DOS PERDOES,RODONAVES,6
BRAGANCA PAULISTA,RODONAVES,4
MORUNGABA,RODONAVES,8
NAZARE PAULISTA,RODONAVES,6
PEDRA BELA,RODONAVES,8
PINHALZINHO,RODONAVES,4
PIRACAIA,RODONAVES,8
SOCORRO,RODONAVES,4
TUIUTI,RODONAVES,8
ANHEMBI,RODONAVES,9
APARECIDA DE SAO MANUEL,RODONAVES,6
AREIOPOLIS,RODONAVES,4
BOFETE,RODONAVES,9
BOTUCATU,RODONAVES,4
ITATINGA,RODONAVES,6
LENCOIS PAULISTA,RODONAVES,4
PARDINHO,RODONAVES,9
PRATANIA,RODONAVES,6
SANTA MARIA DA SERRA,RODONAVES,9
SAO MANUEL,RODONAVES,4
AGUAS LINDAS DE GOIAS,RODONAVES,7
BRASILIA,RODONAVES,5
CIDADE OCIDENTAL,RODONAVES,6
FORMOSA,RODONAVES,5
LUZIANIA,RODONAVES,6
NOVO GAMA,RODONAVES,6
PADRE BERNARDO,RODONAVES,8
PLANALTINA,RODONAVES,8
VALPARAISO DE GOIAS,RODONAVES,6
CAMPINAS,RODONAVES,4
COSMOPOLIS,RODONAVES,4
HORTOLANDIA,RODONAVES,4
MONTE MOR,RODONAVES,4
NOVA VENEZA,RODONAVES,4
PAULINIA,RODONAVES,4
SUMARE,RODONAVES,4
BOA ESPERANCA,RODONAVES,4
CAMPO DO MEIO,RODONAVES,5
CAMPOS GERAIS,RODONAVES,4
GUAPE,RODONAVES,9
ILICINEA,RODONAVES,9
ANAHY,RODONAVES,9
ASSIS CHATEAUBRIAND,RODONAVES,8
BOA VISTA DA APARECIDA,RODONAVES,7
BRAGANEY,RODONAVES,9
CAFELANDIA,RODONAVES,7
CAMPO BONITO,RODONAVES,9
CAPITAO LEONIDAS MARQUES,RODONAVES,7
CASCAVEL,RODONAVES,5
CATANDUVAS,RODONAVES,7
CORBELIA,RODONAVES,7
DIAMANTE DO SUL,RODONAVES,10
ESPIGAO ALTO DO IGUACU,RODONAVES,8
FORMOSA DO OESTE,RODONAVES,9
GUARANIACU,RODONAVES,7
IBEMA,RODONAVES,7
IGUATU,RODONAVES,9
IRACEMA DO OESTE,RODONAVES,9
JESUITAS,RODONAVES,9
LINDOESTE,RODONAVES,7
NOVA AURORA,RODONAVES,7
QUEDAS DO IGUACU,RODONAVES,8
SANTA LUCIA,RODONAVES,9
SANTA TEREZA DO OESTE,RODONAVES,7
TRES BARRAS DO PARANA,RODONAVES,7
TUPASSI,RODONAVES,7
AGUANIL,RODONAVES,9
CAMPO BELO,RODONAVES,5
